Code;Sign
186354;4
186356;4
186358;4
187161;4
187230;4
187252;4
187256;4
187284;4
187288;4
187290;4
187292;4
187293;4
187302;4
187308;4
187313;4
187320;4
187322;4
187323;4
187335;4
187343;4
187348;4
187351;4
187355;4
187359;4
188108;4
188143;4
188160;4
188186;4
188231;4
188237;4
188253;4
188257;4
188288;4
188289;4
188292;4
188293;4
188303;4
188306;4
188309;4
188323;4
188336;4
188344;4
188346;4
188352;4
188360;4
189129;2
189198;2
189205;2
189215;2
189391;2
190130;2
190191;2
190198;2
190205;2
190391;2
190392;2
191132;2
191192;2
191200;2
191206;2
191392;2
191393;2
192199;2
192206;2
192393;2
192394;2
193192;2
193201;2
193207;2
193394;2
193395;2
194193;2
194202;2
194207;2
194393;2
194394;2
194395;2
194396;2
195194;2
195203;2
195208;2
195396;2
195397;2
195398;2
196195;2
196204;2
196208;2
196209;2
196397;2
196398;2
196399;2
196400;2
196401;2
196402;2
197139;2
197196;2
197204;2
197210;2
197211;2
197372;2
197398;2
197399;2
197400;2
197401;2
197402;2
198129;2
198130;2
198189;2
198190;2
198205;2
198215;2
198294;2
198391;2
198392;2
199131;2
199132;2
199190;2
199191;2
199192;2
199205;2
199206;2
199392;2
199393;2
200132;2
200133;2
200192;2
200193;2
200206;2
200207;2
200209;2
200393;2
200394;2
200395;2
201134;2
201193;2
201207;2
201208;2
201209;2
201210;2
201395;2
202135;2
202136;2
202194;2
202195;2
202196;2
202393;2
202394;2
202395;2
202396;2
203136;2
203137;2
203196;2
203197;2
203396;2
203397;2
203398;2
204138;2
204139;2
204197;2
204397;2
204398;2
204399;2
204400;2
204401;2
204402;2
205190;3
205374;3
205391;4
206191;3
206392;4
206393;4
207193;3
211121;3
211122;3
211128;4
211152;4
211153;4
211154;2
211155;2
211156;2
211157;2
211159;4
211160;3
211161;3
211190;2
211199;2
211200;2
211201;2
211204;2
211261;3
211273;2
211274;2
211281;4
211284;4
211288;3
211289;3
211301;2
211304;4
211325;3
211326;3
211327;3
211328;4
211341;3
211342;3
211343;3
211344;3
211347;4
211355;3
211357;4
211362;2
211366;2
211368;2
211372;2
211373;2
211383;2
212171;4
212196;3
212210;4
212213;4
212258;2
212266;4
212280;4
212402;4
213113;2
213114;2
213154;2
213155;2
213156;2
213169;2
213276;4
213280;4
213285;4
213290;2
213291;2
213297;2
213298;2
213307;4
213318;2
213319;2
213351;2
213398;4
214103;4
214104;4
214113;2
214114;2
214154;2
214155;2
214156;2
214157;2
214158;2
214159;2
214205;4
214211;2
214215;2
214274;2
214305;4
214361;4
215101;4
215102;4
215104;4
215154;2
215155;2
215156;2
215157;2
215158;2
215159;2
215160;2
215161;2
215167;2
215168;2
215211;2
215214;2
215273;2
215373;2
216107;4
216108;4
216111;4
216116;4
216121;3
216122;3
216144;4
216145;4
216149;4
216150;4
216151;4
216162;4
216163;4
216167;4
216174;4
216175;4
216176;4
216216;2
216217;2
216282;2
216295;4
216300;2
216304;4
216321;4
216388;2
217111;4
217113;3
217121;3
217122;3
217133;2
217144;4
217157;2
217159;4
217161;3
217162;4
217163;4
217165;4
217166;4
217167;4
217175;4
217182;4
217193;2
217194;2
217216;2
217279;2
217281;4
217283;2
217285;2
