Edgecode;Motif
224322;A018
224323;A033
224324;A045
224331;B127
224332;A021
224333;A037
224334;A047
224341;B208
224342;A028
224343;A041
224344;A048
224411;H015
224412;B037
224413;B102
224414;B171
224421;B089
224422;A019
224423;A035
224424;A046
224431;B154
224432;A024
224433;A039
224434;A048
224441;B235
224442;A031
224443;A043
224444;A049
231112;I003
231113;I004
231114;I020
231121;J003
231122;H004
231123;H010
231124;H021
231131;J004
231132;H009
231133;H007
231134;H030
231141;J022
231142;H028
231143;H029
231144;H031
231211;J005
231212;C009
231213;C011
231214;C028
231221;E007
231222;B014
231223;B016
231224;B044
231231;E009
231232;B013
231233;B015
231234;B063
231241;E020
231242;B072
231243;B081
231244;B090
231311;J006
231312;C010
231313;C008
231314;C056
231321;E008
231322;B030
231323;B032
231324;B109
231331;E010
231332;B029
231333;B031
231334;B128
231341;E032
231342;B137
231343;B146
231344;B155
231411;J015
231412;C037
231413;C065
231414;C074
231421;E022
231422;B164
231423;B173
231424;B182
231431;E034
231432;B191
231433;B200
231434;B209
231441;E041
231442;B218
231443;B227
231444;B236
232111;I005
232112;G007
232113;G009
232114;G016
232121;C005
232122;B004
232123;B009
232124;B054
232131;C006
232132;B013
232133;B007
232134;B055
232141;C040
232142;B052
232143;B053
232144;B056
232211;H005
232212;B005
232213;B021
232214;B172
232221;B010
232222;A005
232223;A013
232224;A025
232231;B026
232232;A011
232233;A006
232234;A034
232241;B166
232242;A032
232243;A033
232244;A035
232311;H010
232312;B016
232313;B032
232314;B173
232321;B009
232322;A013
232323;A016
232324;A050
232331;B025
232332;A015
232333;A014
232334;A051
232341;B193
232342;A052
232343;A053
232344;A054
232411;H016
232412;B038
232413;B103
232414;B174
232421;B074
232422;A020
232423;A050
232424;A055
232431;B139
232432;A056
232433;A057
232434;A058
232441;B220
232442;A059
232443;A060
232444;A061
233111;I006
233112;G008
233113;G010
233114;G032
233121;C007
233122;B020
233123;B025
233124;B119
233131;C012
233132;B029
233133;B023
233134;B120
233141;C067
233142;B117
233143;B118
233144;B121
233211;H008
233212;B008
233213;B024
233214;B175
233221;B008
233222;A009
233223;A015
233224;A062
233231;B024
233232;A015
233233;A010
233234;A063
233241;B175
233242;A062
233243;A063
233244;A064
233311;H006
233312;B006
233313;B022
233314;B176
233321;B011
233322;A007
233323;A014
233324;A065
233331;B027
233332;A012
233333;A008
233334;A066
233341;B202
233342;A067
233343;A068
233344;A069
233411;H017
233412;B039
233413;B104
233414;B177
233421;B083
233422;A021
233423;A051
233424;A070
233431;B148
233432;A071
233433;A072
233434;A073
233441;B229
233442;A074
233443;A075
233444;A076
234111;I022
234112;G012
234113;G029
234114;G041
234121;C030
234122;B190
234123;B193
234124;B196
234131;C058
234132;B191
234133;B194
234134;B197
234141;C076
234142;B192
234143;B195
234144;B198
234211;H018
234212;B040
234213;B105
234214;B178
234221;B046
234222;A022
234223;A052
234224;A077
234231;B111
234232;A056
234233;A078
234234;A079
234241;B184
234242;A080
234243;A081
234244;A082
234311;H019
234312;B041
234313;B106
234314;B179
234321;B065
234322;A023
234323;A053
234324;A083
234331;B130
234332;A071
234333;A084
234334;A085
234341;B211
234342;A086
234343;A087
234344;A088
234411;H020
234412;B042
234413;B107
234414;B180
234421;B092
234422;A024
234423;A054
234424;A089
234431;B157
234432;A090
234433;A091
234434;A092
234441;B238
234442;A093
234443;A094
234444;A095
241112;I009
241113;I014
241114;I021
241121;J009
241122;H011
241123;H016
241124;H022
241131;J018
241132;H028
241133;H032
241134;H036
241141;J025
241142;H040
241143;H041
241144;H042
241211;J011
241212;C017
241213;C022
241214;C029
241221;E011
241222;B033
241223;B038
241224;B045
241231;E014
241232;B052
241233;B057
241234;B064
241241;E021
241242;B073
241243;B082
241244;B091
241311;J016
241312;C038
241313;C050
241314;C057
241321;E016
241322;B098
241323;B103
